,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
4821,High,USA,M,12,E,DA,N,12,,3,,PB,,M,15.0,Bachelors (4 years),Yes,N,40.0,zero
4822,Mid,USA,M,10,E,E,N,1,,3,,PB,C,M,12.0,Masters,No,N,45.0,zero
4823,Mid,USA,M,4,EC,DBAP,N,1,,6,,PB,C,M,200.0,Masters,Yes,YesExpired,40.0,five
4824,Mid,USA,M,5,E,DT,N,5,,4,,PB,S,M,15.0,Bachelors (4 years),No,N,40.0,zero
4825,Very High,USA,M,17,E,DBAG,N,15,,2,,PB,S,M,75.0,Masters,No,YesExpired,40.0,five
4826,Very High,USA,M,27,IC,DBAD,N,27,,0,,PB,SE,F,30.0,Masters,Yes,YesExpired,35.0,five
4827,High,USA,M,8,E,DBAG,N,5,,0,,PB,,M,100.0,Bachelors (4 years),No,YesValid,40.0,five
4828,Very High,USA,M,15,E,DBAG,Y,5,,4,,PB,SE,M,20.0,Bachelors (4 years),No,YesValid,40.0,one
4829,Mid,USA,P,3,E,DBAD,N,3,,3,,E,C,F,80.0,Bachelors (4 years),No,YesValid,45.0,zero
4830,Low,Canada,M,25,E,DBAG,N,25,,0,,SG,C,M,15.0,Masters,No,YesExpired,40.0,zero
4831,Mid,USA,M,5,E,DBAG,N,4,,0,,NP,SE,M,15.0,Bachelors (4 years),Yes,N,50.0,zero
4832,High,USA,M,17,E,DBAG,N,3,,0,,PB,S,F,89.0,Bachelors (4 years),Yes,N,40.0,one
4833,Mid,USA,M,19,E,A,N,4,,1,,PB,S,M,200.0,Masters,Yes,YesExpired,50.0,two
4834,Mid,USA,M,8,E,DBAP,Y,8,,1,,LG,S,M,45.0,Masters,Yes,YesExpired,40.0,zero
4835,High,USA,M,19,E,DBAG,Y,1,,0,,PB,S,M,28.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
4836,Very Low,UK,M,4,E,E,N,4,,5,,PB,C,M,60.0,Bachelors (4 years),No,N,50.0,zero
4837,High,USA,M,12,E,M,N,19,,0,,PB,S,M,1.0,Masters,Yes,YesExpired,45.0,zero
4838,Very High,Denmark,M,8,IC,DBAP,N,12,,0,,FG,S,M,60.0,Masters,Yes,YesExpired,30.0,zero
4839,Low,USA,M,3,E,DBAD,N,3,,0,,PB,S,M,5.0,Associates (2 years),,N,40.0,one
4840,Very Low,New-Zealand,M,10,E,DBAG,N,6,,1,,LG,S,M,20.0,Bachelors (4 years),No,YesExpired,40.0,zero
4841,Mid,USA,M,20,E,DBAG,N,10,,0,,PB,S,F,25.0,Bachelors (4 years),No,N,50.0,zero
4842,Very High,USA,M,10,E,DBAG,N,2,,0,,PB,S,M,25.0,Bachelors (4 years),No,YesValid,40.0,four
4843,Mid,UK,M,5,E,DBAG,Y,3,,0,,PB,S,M,2.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4844,Very Low,USA,M,1,E,A,N,1,,0,,PB,S,M,2.0,Bachelors (4 years),No,N,45.0,zero
4845,Very High,USA,M,19,E,DBAD,N,8,,1,,PB,S,M,200.0,Bachelors (4 years),No,N,42.0,one
4846,Low,USA,M,6,E,D,N,6,,0,,NP,S,M,4.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4847,High,USA,M,17,E,DBAG,N,18,,0,,PB,S,M,25.0,None (no degree completed),,YesExpired,50.0,two
4848,Mid,USA,M,15,E,DBAP,N,0,,0,,PB,S,F,24.0,Bachelors (4 years),No,N,40.0,one
4849,High,USA,M,9,E,DBAP,N,5,,0,,PB,S,M,100.0,Associates (2 years),Yes,N,50.0,two
4850,High,USA,M,18,E,DBAG,N,18,,0,,PB,S,M,7.0,Associates (2 years),Yes,N,40.0,one
4851,Very High,USA,M,20,E,DBAP,N,10,,3,,PB,S,M,10.0,Bachelors (4 years),No,N,45.0,one
4852,Mid,USA,M,4,E,M,Y,1,,0,,PB,S,M,80.0,Bachelors (4 years),Yes,N,45.0,zero
4853,High,USA,M,15,E,DBAG,N,20,,0,,PB,,F,30.0,Bachelors (4 years),Yes,YesValid,45.0,one
4854,Mid,USA,M,20,E,DBAP,N,6,,1,,NP,S,M,233.0,Associates (2 years),No,YesValid,40.0,one
4855,Mid,USA,M,5,E,DBAG,Y,3,,0,,PB,C,M,15.0,None (no degree completed),,YesExpired,50.0,one
4856,High,USA,O,18,E,DBAP,N,10,,1,,PB,S,M,40.0,Bachelors (4 years),Yes,YesExpired,45.0,one
4857,Low,USA,M,3,E,DS,Y,3,,0,,PB,SE,M,2.0,Masters,Yes,N,65.0,zero
4858,Mid,USA,M,3,E,A,N,8,,0,,PB,SR,M,3.0,Masters,No,N,40.0,zero
4859,Very Low,UK,M,3,E,DT,N,3,,1,,PB,SR,M,8.0,None (no degree completed),,N,40.0,zero
4860,Very Low,USA,M,4,E,DA,N,4,,1,,PB,S,M,2.0,Associates (2 years),Yes,N,45.0,zero
4861,Low,USA,M,3,E,D,N,3,,0,,PB,S,M,5.0,None (no degree completed),,N,42.0,zero
4862,Mid,Norway,M,7,E,DBAP,N,10,,6,,PB,S,M,800.0,Bachelors (4 years),Yes,YesValid,37.0,one
4863,Low,USA,M,5,E,DBAD,N,2,,0,,PB,S,M,10.0,Bachelors (4 years),No,N,40.0,one
4864,Mid,USA,M,8,E,DBAG,N,7,,0,,PB,S,M,4.0,Bachelors (4 years),Yes,N,40.0,zero
4865,Low,Canada,M,8,E,DA,N,8,,0,,PB,S,M,4.0,Bachelors (4 years),,N,40.0,zero
4866,High,USA,M,8,E,DBAG,Y,2,,0,,PB,S,M,2.0,Bachelors (4 years),Yes,YesValid,45.0,zero
4867,Low,UK,M,2,E,DBAG,N,2,,0,,PB,C,M,3.0,Bachelors (4 years),Yes,N,40.0,zero
4868,Mid,USA,M,12,E,DBAD,N,11,,1,,NP,S,M,11.0,Bachelors (4 years),Yes,YesValid,45.0,one
4869,Very High,USA,M,20,E,DT,N,2,,0,,PB,C,M,7.0,Bachelors (4 years),No,YesExpired,48.0,one
4870,High,USA,M,17,E,DBAP,N,4,,3,,PB,S,M,800.0,Doctorate/PhD,Yes,YesValid,45.0,five
4871,Very Low,France,M,10,EC,DBAG,N,1,,6,,PB,S,M,300.0,Masters,No,YesValid,38.0,zero
4872,Very Low,Greece,M,5,EC,E,Y,10,,0,,PB,S,M,50.0,None (no degree completed),,YesValid,60.0,five
4873,High,USA,M,8,E,DBAG,N,3,,0,,PB,S,M,6.0,Bachelors (4 years),Yes,N,50.0,five
4874,Low,USA,M,12,E,DBAD,Y,12,,0,,PB,S,F,2.0,Bachelors (4 years),No,N,40.0,one
4875,Low,UK,M,14,E,DBAP,N,2,,3,,PB,SR,M,80.0,Associates (2 years),,N,40.0,zero
4876,Mid,USA,M,7,E,DT,N,4,,0,,PB,S,M,2.0,Bachelors (4 years),No,N,40.0,zero
4877,Mid,Canada,M,20,E,DBAG,N,5,,0,,PB,S,M,10.0,Associates (2 years),Yes,YesExpired,38.0,zero
4878,Very Low,Netherlands,M,16,E,DT,N,18,,1,,PB,,M,5.0,None (no degree completed),,YesValid,45.0,zero
4879,Low,USA,M,3,E,DBAG,N,3,,0,,SG,S,M,10.0,Associates (2 years),Yes,N,40.0,zero
4880,Very High,USA,M,18,E,A,N,18,,0,,PB,S,M,10.0,None (no degree completed),,YesExpired,45.0,five
4881,Very Low,USA,M,2,E,DBAG,N,2,,3,,PB,SR,F,200.0,None (no degree completed),,N,40.0,zero
4882,Very High,New-Zealand,M,20,IC,DBAG,N,13,,0,,PB,S,M,80.0,Bachelors (4 years),No,YesExpired,40.0,one
4883,Low,New-Zealand,M,8,E,DBAP,N,2,,0,,PB,SR,M,100.0,None (no degree completed),,YesValid,40.0,one
4884,Very High,USA,M,12,E,DBAP,N,12,,1,,PB,SR,M,50.0,Associates (2 years),Yes,YesExpired,45.0,one
4885,Very High,USA,M,17,EC,DBAP,Y,15,,1,,NP,S,M,90.0,Bachelors (4 years),No,N,40.0,three
4886,Low,Sweden,M,5,E,DT,N,5,,5,,PB,S,M,25.0,None (no degree completed),,YesValid,40.0,zero
4887,Very High,USA,M,20,E,DBAG,Y,5,,1,,NP,S,M,50.0,Bachelors (4 years),Yes,YesExpired,70.0,five
4888,Mid,USA,O,9,E,DBAG,N,12,,0,,PB,,NB,200.0,None (no degree completed),No,N,40.0,zero
4889,Mid,Australia,M,19,E,DBAG,Y,11,,0,,SG,,M,5.0,None (no degree completed),,N,55.0,zero
4890,Low,New-Zealand,M,10,E,D,N,6,,0,,LG,S,M,5.0,Bachelors (4 years),Yes,N,40.0,zero
4891,Low,Australia,M,10,E,DT,N,1,,2,,SG,S,M,5.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
4892,Low,UK,M,10,E,D,N,10,,2,,PB,SE,M,5.0,Masters,Yes,N,37.0,zero
4893,Low,Belgium,M,15,E,DBAG,Y,15,,0,,PB,S,M,4.0,Bachelors (4 years),Yes,YesValid,38.0,zero
4894,Mid,USA,M,10,E,DBAP,N,10,,4,,PB,SR,F,200.0,Bachelors (4 years),Yes,YesExpired,40.0,two
4895,Very High,USA,M,7,E,DBAP,N,5,,2,,PB,S,M,306.0,Associates (2 years),Yes,YesExpired,40.0,two
4896,Mid,USA,M,15,E,DA,N,15,,3,,PB,S,M,8.0,None (no degree completed),,YesExpired,48.0,zero
4897,Very High,Australia,M,19,IC,D,N,5,,0,,FG,SR,M,20.0,Associates (2 years),Yes,YesExpired,38.0,zero
4898,Mid,Australia,M,12,E,D,N,7,,3,,SG,S,M,8.0,Bachelors (4 years),No,N,38.0,one
4899,Low,Belgium,M,5,IC,DBAG,N,5,,0,,PB,S,M,100.0,None (no degree completed),No,YesValid,40.0,zero
4900,Very High,USA,M,8,E,A,Y,6,,0,,PB,S,M,25.0,Bachelors (4 years),Yes,N,40.0,zero
4901,Mid,Australia,M,15,E,DBAG,N,3,,3,,PB,S,M,150.0,None (no degree completed),,N,37.0,zero
4902,Low,Sweden,M,12,E,DBAG,N,1,,0,,PB,S,M,3.0,Masters,No,N,40.0,zero
4903,Mid,USA,M,7,E,DBAG,N,6,,2,,PB,S,M,50.0,Associates (2 years),,YesValid,40.0,zero
4904,High,USA,M,17,E,DBAP,N,5,,0,,PB,S,F,6.0,Masters,No,YesValid,40.0,zero
4905,Mid,USA,M,6,E,DBAD,N,6,,0,,LG,S,M,50.0,Masters,No,N,50.0,zero
4906,Mid,USA,M,3,E,DBAP,N,1,,4,,PB,S,M,120.0,Bachelors (4 years),Yes,N,41.0,two
4907,Mid,Australia,M,18,E,DBAP,Y,18,,5,,SG,S,M,500.0,Bachelors (4 years),Yes,N,40.0,two
4908,Very High,Australia,M,13,E,DA,Y,5,,0,,PB,S,M,2.0,Bachelors (4 years),No,N,48.0,zero
4909,High,USA,M,4,E,DBAP,N,17,,6,,NP,SE,M,100.0,Masters,Yes,YesExpired,45.0,five
4910,Mid,Australia,M,12,E,DA,N,4,,0,,PB,C,M,10.0,Bachelors (4 years),No,N,40.0,zero
4911,Very High,USA,O,4,E,DBAP,N,3,,0,,PB,S,M,1000.0,Bachelors (4 years),Yes,N,40.0,five
4912,High,USA,M,13,E,DBAP,N,7,,1,,PB,S,M,325.0,Bachelors (4 years),Yes,N,47.0,zero
4913,High,USA,M,10,E,A,N,5,,0,,PB,S,M,25.0,None (no degree completed),,YesValid,40.0,zero
4914,High,USA,M,2,E,M,Y,2,,0,,PB,S,M,8.0,Bachelors (4 years),No,YesExpired,45.0,zero
4915,Low,Australia,M,3,E,DA,N,3,,4,,PB,S,M,2.0,Bachelors (4 years),No,N,40.0,zero
4916,Mid,USA,P,2,E,DT,N,30,,0,,PB,C,M,400.0,Bachelors (4 years),No,YesExpired,50.0,zero
4917,Very High,Australia,M,11,IC,DBAD,N,8,,0,,PB,S,M,5.0,Bachelors (4 years),Yes,YesValid,42.0,zero
4918,Low,USA,M,18,E,DBAD,N,3,,3,,LG,S,F,70.0,Masters,Yes,N,40.0,one
4919,Mid,USA,M,6,E,DBAP,N,6,,6,,PB,S,M,25.0,Associates (2 years),Yes,YesValid,45.0,two
4920,Mid,Australia,M,9,E,DBAG,N,6,,1,,PB,S,M,50.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4921,Very High,UK,M,18,E,DBAG,N,2,,1,,PB,C,M,65.0,Associates (2 years),Yes,YesExpired,45.0,four
4922,Very Low,Italy,M,5,E,DBAD,N,5,,0,,PB,SE,M,15.0,Associates (2 years),Yes,YesValid,40.0,two
4923,Very Low,Serbia-and-Montenegro,M,10,EC,DBAG,N,3,,2,,PB,C,M,15.0,Masters,No,N,40.0,five
4924,Very Low,Australia,M,12,E,DA,N,12,,1,,PB,C,M,8.0,Masters,Yes,YesValid,38.0,zero
4925,Very High,USA,M,6,EC,A,Y,1,,2,,PB,S,M,100.0,Bachelors (4 years),Yes,YesValid,45.0,zero
4926,Very High,USA,M,15,E,D,N,8,,3,,PB,,F,11.0,Bachelors (4 years),No,N,45.0,five
4927,High,Australia,M,14,E,DBAG,Y,4,,0,,NP,SE,M,24.0,Masters,No,N,40.0,one
4928,Low,USA,DB2,2,E,DBAG,Y,2,,6,,PB,S,M,14.0,Bachelors (4 years),Yes,N,45.0,five
4929,Low,Australia,M,8,P,DBAP,N,8,,2,,PB,S,M,103.0,None (no degree completed),,N,30.0,zero
4930,High,USA,M,8,E,DBAG,Y,4,,1,,PB,S,M,20.0,Bachelors (4 years),Yes,N,40.0,two
4931,High,USA,M,17,E,DBAP,N,4,,3,,PB,S,M,350.0,Bachelors (4 years),No,YesValid,42.0,five
4932,Low,USA,M,1,E,E,N,6,,0,,PB,SE,M,20.0,None (no degree completed),,YesExpired,45.0,zero
4933,Low,UK,M,11,EC,D,N,0,,0,,E,S,M,3.0,Masters,Yes,N,37.0,two
4934,Mid,USA,M,14,E,DBAG,Y,2,,0,,SG,SE,M,40.0,Bachelors (4 years),Yes,N,38.0,zero
4935,Very High,USA,M,15,E,DBAP,N,6,,2,,PB,SR,M,160.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4936,Mid,USA,M,14,E,E,N,8,,0,,E,S,M,15.0,None (no degree completed),,YesValid,45.0,three
4937,High,USA,M,20,E,DBAD,N,1,,6,,PB,SE,M,5.0,Associates (2 years),No,N,40.0,one
4938,High,USA,M,9,E,D,N,1,,0,,PB,S,M,5.0,Bachelors (4 years),Yes,N,40.0,zero
4939,Very Low,Sweden,M,1,E,E,N,10,,2,,PB,S,M,120.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4940,Very High,USA,M,20,E,DBAG,N,1,,2,,PB,SR,M,30.0,Associates (2 years),Yes,YesValid,45.0,zero
4941,Very Low,USA,M,1,E,DA,N,1,,3,,PB,S,M,5.0,Bachelors (4 years),Yes,N,40.0,zero
4942,Low,Australia,M,3,E,AN,N,1,,0,,PB,S,M,5.0,None (no degree completed),,YesExpired,40.0,zero
4943,Low,Netherlands,M,7,E,D,Y,7,,3,,PB,S,M,25.0,Bachelors (4 years),No,N,50.0,zero
4944,High,USA,M,22,E,D,N,6,,4,,PB,,F,2.0,Bachelors (4 years),Yes,N,40.0,five
4945,Low,USA,O,20,E,D,N,15,,3,,PB,S,M,8.0,Bachelors (4 years),No,YesExpired,40.0,zero
4946,Mid,USA,M,19,E,DBAP,N,19,,2,,PB,S,M,150.0,Bachelors (4 years),No,YesExpired,50.0,five
4947,Mid,USA,M,10,EC,E,N,1,,4,,PB,S,F,600.0,Bachelors (4 years),No,YesValid,45.0,zero
4948,High,USA,M,20,E,DA,Y,6,,3,,PB,S,M,25.0,Bachelors (4 years),Yes,YesExpired,45.0,five
4949,Mid,USA,M,16,E,DBAP,N,0,,1,,PB,SR,M,55.0,Bachelors (4 years),No,N,45.0,zero
4950,Low,USA,M,17,E,M,Y,10,,1,,E,S,M,4.0,Bachelors (4 years),No,N,50.0,zero
4951,Very High,Australia,M,15,IC,DBAP,N,7,,0,,LG,C,M,600.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
4952,High,USA,M,11,E,DBAG,N,2,,6,,PB,S,F,300.0,Bachelors (4 years),No,YesExpired,60.0,three
4953,High,USA,M,10,E,DBAP,N,5,,4,,SG,S,M,320.0,Masters,No,N,44.0,zero
4954,Low,USA,M,3,E,DBAG,N,1,,0,,NP,S,M,50.0,Bachelors (4 years),No,N,50.0,zero
4955,Mid,USA,M,6,E,DBAG,Y,1,,0,,PB,S,M,20.0,Associates (2 years),Yes,YesExpired,45.0,zero
4956,Low,Australia,M,5,E,DBAP,N,5,,1,,PB,S,M,70.0,Bachelors (4 years),No,N,38.0,zero
4957,Low,New-Zealand,M,13,E,DBAP,N,13,,0,,LG,S,M,100.0,None (no degree completed),,N,40.0,zero
4958,Very High,USA,M,15,EC,D,Y,10,,1,,PB,S,F,100.0,None (no degree completed),,YesExpired,45.0,five
4959,Very Low,India,M,15,IC,A,N,20,,0,,PB,SR,M,3.0,Masters,No,YesValid,40.0,five
4960,High,Caymans,M,5,E,DT,Y,6,,0,,PB,S,M,2.0,None (no degree completed),No,YesExpired,45.0,zero
4961,Low,USA,M,3,E,DBAP,N,3,,4,,PB,S,M,200.0,Bachelors (4 years),Yes,N,45.0,zero
4962,Very High,USA,M,6,E,D,N,21,,0,,PB,SR,M,1.0,Bachelors (4 years),Yes,YesExpired,58.0,zero
4963,Very Low,Philippines,M,2,E,DBAG,N,5,,3,,PB,S,M,30.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4964,High,USA,M,25,EC,DT,N,15,,0,,PB,S,M,15.0,None (no degree completed),,YesExpired,45.0,three
4965,High,USA,M,13,E,DBAG,N,13,,6,,PB,S,M,500.0,Bachelors (4 years),Yes,YesExpired,50.0,zero
4966,Very Low,USA,M,5,E,M,Y,5,,1,,E,S,M,5.0,Bachelors (4 years),No,YesValid,45.0,zero
4967,Very Low,Indonesia,M,4,E,AN,N,1,,0,,SG,SE,M,4.0,Associates (2 years),Yes,N,40.0,zero
4968,High,USA,M,11,E,DBAG,N,1,,0,,PB,S,M,6.0,Masters,No,YesExpired,40.0,five
4969,Mid,USA,M,4,E,DBAD,N,4,,6,,PB,S,M,100.0,Bachelors (4 years),Yes,N,40.0,zero
4970,Very Low,India,M,8,E,DA,Y,7,,6,,PB,SR,M,8.0,Associates (2 years),Yes,N,50.0,zero
4971,Very Low,Philippines,M,7,E,DBAG,N,7,,0,,PB,S,F,7.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4972,Very Low,Romania,M,16,EC,DT,N,0,,1,,PB,,M,5.0,Doctorate/PhD,No,YesExpired,20.0,one
4973,Mid,USA,M,18,E,DBAP,N,16,,6,,PB,SR,F,32.0,Bachelors (4 years),Yes,YesExpired,50.0,three
4974,Mid,USA,M,5,E,DBAP,N,4,,2,,PB,S,,40.0,Bachelors (4 years),Yes,N,40.0,zero
4975,Very Low,South-Africa,M,14,E,DT,N,7,,1,,PB,S,M,75.0,Bachelors (4 years),No,N,40.0,two
4976,Low,USA,M,4,E,DBAG,N,2,,5,,PB,S,M,200.0,None (no degree completed),,YesValid,45.0,zero
4977,Very Low,India,M,3,E,DBAP,Y,3,,3,,PB,C,M,130.0,Associates (2 years),Yes,YesValid,90.0,one
4978,Very Low,Austria,M,10,E,DBAG,Y,12,,1,,LG,S,M,15.0,None (no degree completed),,YesExpired,40.0,one
4979,Very Low,Italy,M,15,E,DBAG,N,15,,0,,PB,,M,10.0,None (no degree completed),,N,50.0,zero
4980,Very Low,South-Africa,M,17,E,DT,N,9,,1,,PB,S,M,42.0,None (no degree completed),,YesExpired,50.0,zero
4981,Very Low,Poland,M,8,E,DBAG,N,2,,5,,PB,SR,M,500.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4982,Very Low,Netherlands,M,8,E,DA,N,16,,0,,PB,SR,M,5.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4983,Very Low,Spain,M,12,E,DBAP,N,18,,0,,PB,SE,M,45.0,None (no degree completed),,N,45.0,one
4984,Very Low,India,M,6,E,DBAG,Y,6,,0,,PB,SR,F,20.0,Masters,Yes,YesValid,45.0,zero
4985,Mid,Denmark,M,15,E,E,N,12,,4,,PB,S,M,1500.0,Bachelors (4 years),No,YesExpired,50.0,two
4986,Very Low,Slovenia,M,7,E,E,Y,5,,2,,PB,S,M,200.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4987,Very Low,Germany,M,15,E,DT,N,15,,2,,PB,S,M,7.0,Bachelors (4 years),No,YesValid,43.0,zero
4988,Very Low,UK,M,2,E,DBAP,N,2,,0,,LG,S,M,95.0,Associates (2 years),No,YesValid,38.0,zero
4989,Very Low,Sweden,M,20,E,D,N,20,,6,,SG,SE,M,15.0,Bachelors (4 years),Yes,N,40.0,zero
4990,Very Low,UK,M,20,E,DBAG,N,5,,6,,E,,M,200.0,None (no degree completed),Yes,N,37.0,one
4991,Very Low,Bulgaria,M,14,E,DBAD,N,4,,1,,PB,S,M,40.0,Bachelors (4 years),Yes,N,42.0,zero
4992,Very Low,Spain,M,6,E,DBAP,N,20,,2,,PB,S,M,100.0,None (no degree completed),,N,40.0,one
4993,Very Low,India,M,6,E,DBAG,N,7,,1,,PB,S,M,6.0,Bachelors (4 years),Yes,YesValid,9.0,zero
4994,High,UK,M,15,E,DT,N,4,,2,,PB,S,M,20.0,Bachelors (4 years),No,N,40.0,zero
4995,Very Low,South-Africa,M,20,E,DBAG,N,4,,0,,PB,S,M,50.0,Associates (2 years),Yes,YesValid,50.0,two
4996,Low,Belgium,M,8,EC,D,N,10,,1,,PB,S,M,5.0,Masters,Yes,YesValid,40.0,one
4997,Low,UK,M,8,E,A,N,2,,1,,PB,SE,M,20.0,Bachelors (4 years),No,YesValid,40.0,zero
4998,Very Low,UK,M,3,E,DT,N,3,,0,,PB,,M,6.0,Bachelors (4 years),No,YesValid,42.0,zero
4999,Low,Guernsey,M,12,E,DBAP,N,12,,2,,PB,,M,60.0,Bachelors (4 years),No,N,45.0,five
5000,Low,UK,M,20,E,M,Y,10,,3,,PB,S,M,4.0,Bachelors (4 years),Yes,N,40.0,zero
5001,Low,UK,M,14,E,DBAD,N,4,,1,,PB,C,M,25.0,None (no degree completed),No,YesValid,37.0,one
5002,Very Low,UK,M,1,E,DBAD,N,25,,0,,SG,S,M,6.0,None (no degree completed),,N,37.0,zero
5003,Very Low,UK,M,12,E,DA,N,5,,1,,PB,S,M,4.0,None (no degree completed),,YesExpired,35.0,one
5004,Very Low,UK,M,7,E,AN,N,3,,2,,E,S,M,15.0,Associates (2 years),,YesValid,37.0,zero
5005,High,Switzerland,M,15,E,DBAP,N,6,,1,,SG,C,M,60.0,None (no degree completed),,YesExpired,42.0,zero
5006,Very Low,Poland,M,3,E,DBAP,N,3,,0,,PB,S,M,50.0,Masters,No,YesValid,40.0,zero
5007,Mid,UK,M,10,EC,DBAG,Y,15,,1,,PB,S,M,10.0,Bachelors (4 years),No,N,50.0,two
5008,Very Low,France,O,17,E,DBAG,N,10,,0,,PB,SE,M,100.0,Masters,Yes,YesExpired,37.0,zero
5009,Very Low,UK,M,11,E,D,N,11,,0,,NP,C,M,4.0,Bachelors (4 years),Yes,YesValid,35.0,one
5010,Very Low,Italy,M,8,E,DT,N,6,,4,,PB,S,M,30.0,Bachelors (4 years),Yes,N,40.0,zero
5011,Very Low,Romania,M,10,E,A,N,6,,1,,PB,,M,100.0,Bachelors (4 years),Yes,N,40.0,zero
5012,Very Low,Iceland,M,19,E,A,N,3,,0,,PB,S,M,80.0,Bachelors (4 years),Yes,YesExpired,60.0,zero
5013,Mid,UK,M,8,E,DBAP,N,2,,2,,PB,,M,100.0,Masters,Yes,YesExpired,38.0,zero
5014,Very Low,Italy,M,8,E,DBAD,N,8,,0,,PB,S,M,3.0,Bachelors (4 years),Yes,N,40.0,zero
5015,Very High,Switzerland,M,5,E,DBAP,N,5,,1,,PB,S,M,100.0,Bachelors (4 years),Yes,YesValid,41.0,one
5016,Very Low,Italy,M,12,E,AN,Y,4,,1,,PB,,F,5.0,None (no degree completed),No,YesValid,40.0,zero
5017,Very Low,India,M,7,E,DBAG,N,2,,1,,PB,C,M,20.0,Masters,Yes,YesExpired,50.0,zero
5018,Very Low,UK,M,9,E,DBAD,N,2,,0,,PB,SR,M,1.0,None (no degree completed),,N,38.0,zero
5019,Very Low,UK,M,6,E,DBAG,Y,1,,0,,E,S,M,68.0,Bachelors (4 years),No,YesValid,35.0,zero
5020,Very Low,Netherlands,M,6,E,DBAG,N,6,,5,,PB,S,M,200.0,Bachelors (4 years),No,YesValid,40.0,zero
5021,Very Low,UK,M,5,E,DBAG,Y,5,,2,,PB,S,F,30.0,Masters,Yes,N,50.0,zero
5022,Low,UK,M,17,E,DBAG,Y,2,,1,,PB,S,M,200.0,None (no degree completed),,YesExpired,38.0,zero
5023,Mid,Denmark,M,20,E,D,N,12,,2,,PB,S,M,10.0,Bachelors (4 years),Yes,YesExpired,40.0,two
5024,Very Low,UK,M,22,E,DBAP,N,33,,2,,PB,S,M,300.0,Associates (2 years),,N,37.0,zero
5025,Very Low,Russia,M,7,E,DBAG,Y,6,,2,,PB,S,M,50.0,Masters,Yes,YesValid,48.0,two
5026,Low,UK,M,17,E,DT,Y,5,,1,,PB,S,M,20.0,Bachelors (4 years),No,YesValid,40.0,one
5027,Mid,UK,M,18,E,D,Y,2,,0,,PB,S,M,20.0,None (no degree completed),,N,38.0,zero
5028,Very Low,UK,M,10,E,DBAG,Y,6,,1,,PB,,M,132.0,Bachelors (4 years),Yes,YesExpired,37.0,zero
5029,Very Low,UK,M,6,E,DBAP,N,6,,2,,LG,SR,F,85.0,None (no degree completed),,N,37.0,three
5030,Mid,UK,M,7,E,DBAG,N,1,,0,,PB,SR,M,8.0,None (no degree completed),Yes,YesValid,40.0,two
5031,Very High,Ireland,M,12,E,M,Y,20,,0,,PB,S,M,10.0,Bachelors (4 years),No,N,40.0,zero
5032,Mid,Switzerland,M,4,E,DBAG,N,4,,4,,PB,SR,M,50.0,Masters,Yes,N,40.0,one
5033,Low,UK,M,23,E,A,N,10,,0,,SG,S,M,300.0,Bachelors (4 years),No,YesExpired,40.0,zero
5034,Very Low,UK,M,5,E,AN,N,5,,1,,PB,SR,M,200.0,None (no degree completed),,N,38.0,zero
5035,Very Low,UK,M,10,E,D,N,5,,0,,NP,SR,F,10.0,Bachelors (4 years),Yes,N,38.0,one
5036,Very Low,UK,M,8,E,DT,N,8,,0,,PB,C,M,3.0,Bachelors (4 years),No,N,40.0,zero
5037,Very Low,South-Africa,M,12,IC,DBAP,N,10,,3,,PB,SR,M,27.0,Associates (2 years),No,YesExpired,40.0,zero
5038,Very Low,UK,O,10,E,DBAG,N,4,,1,,E,C,M,50.0,None (no degree completed),,N,37.0,one
5039,Mid,Netherlands,M,6,E,DBAG,N,18,,4,,PB,S,M,12.0,Associates (2 years),No,YesValid,40.0,zero
5040,Very High,USA,M,4,EC,DBAG,N,4,,1,,SG,S,M,40.0,Associates (2 years),No,YesValid,40.0,zero
5041,Low,UK,M,17,E,M,Y,10,,0,,FG,S,M,20.0,Bachelors (4 years),No,YesExpired,40.0,zero
5042,Very Low,UK,M,9,E,DBAP,Y,3,,1,,PB,C,M,200.0,Bachelors (4 years),Yes,YesValid,45.0,one
5043,Very Low,Poland,O,15,E,DBAG,N,12,,4,,PB,S,M,70.0,Masters,Yes,N,40.0,zero
5044,Low,Sweden,M,10,E,D,N,6,,1,,SG,C,F,15.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
